N;Station;Measure;R;LB;HB;Samples;Precision;Expected;Simulation;Seed
0;CPU;meanclients;1.477155469909661;1.4492313867644528;1.505079553054869;40;0.0189039567696391;1.4748741659982971;1;123456789
1;CPU;meanwaits;6.6528658096917175;6.566305720697122;6.739425898686313;40;0.0130109476834023;6.653029723209239;1;123456789
2;IO1;meanclients;1.3280562583461235;1.2936860806510877;1.3624264360411595;40;0.0258800615403434;1.348646013508639;1;123456789
3;IO1;meanwaits;92.4189429536084;90.63345692613048;94.20442898108632;40;0.0193194811627977;93.59423771469142;1;123456789
4;IO2;meanclients;11.884584453253302;11.770936096222492;11.998232810284112;40;0.009562669816335;11.874748740395736;1;123456789
5;IO2;meanwaits;2141.185038336459;2114.651484076613;2167.7185925963045;40;0.0123919949863183;2142.6385557989493;1;123456789
6;SWAP_IN;meanclients;0.8634572639184159;0.8436661264961406;0.8832484013406913;40;0.0229208071427438;0.8680392814475604;1;123456789
7;SWAP_IN;meanwaits;387.1213199566361;380.5950422879649;393.64759762530736;40;0.0168584816496345;391.5650076137055;1;123456789
8;ActiveTime;cycleTime;6330.376870780143;6117.83365195626;6542.920089604026;40;0.0335751288055128;6630.26190696379;1;123456789
9;CPU;meanclients;1.479414372592804;1.452914770776383;1.505913974409225;40;0.0179122241255355;1.4748741659982971;2;123456790
10;CPU;meanwaits;6.657331723686444;6.57307949150443;6.7415839558684585;40;0.0126555556608737;6.653029723209239;2;123456790
11;IO1;meanclients;1.3590903648336434;1.3383579073696048;1.379822822297682;40;0.0152546570857164;1.348646013508639;2;123456790
12;IO1;meanwaits;94.18021617100366;93.2334324134146;95.12699992859272;40;0.0100528942922575;93.59423771469142;2;123456790
13;IO2;meanclients;11.844927500544816;11.754619046348449;11.935235954741186;40;0.0076242302194096;11.874748740395736;2;123456790
14;IO2;meanwaits;2137.9286357662304;2115.017659902024;2160.8396116304366;40;0.0107164362181785;2142.6385557989493;2;123456790
15;SWAP_IN;meanclients;0.8476241229024171;0.8250783588369256;0.8701698869679085;40;0.0265987758681179;0.8680392814475604;2;123456790
16;SWAP_IN;meanwaits;384.0684483869619;375.6621519708528;392.474744803071;40;0.0218874954488306;391.5650076137055;2;123456790
17;ActiveTime;cycleTime;6511.845829206356;6266.270380936621;6757.421277476091;40;0.0377121103156806;6630.26190696379;2;123456790
18;CPU;meanclients;1.4658876418902411;1.4390491215328145;1.4927261622476684;40;0.0183087158868596;1.4748741659982971;3;123456791
19;CPU;meanwaits;6.6327750584637375;6.545399644035827;6.720150472891648;40;0.0131732817196046;6.653029723209239;3;123456791
20;IO1;meanclients;1.3325590706355357;1.303953967337086;1.3611641739339848;40;0.0214662928862184;1.348646013508639;3;123456791
21;IO1;meanwaits;92.76035974875572;91.12604572772692;94.39467376978452;40;0.0176186684210302;93.59423771469142;3;123456791
22;IO2;meanclients;11.845502016616072;11.742859439673811;11.94814459355833;40;0.0086651099124611;11.874748740395736;3;123456791
23;IO2;meanwaits;2144.6437338823725;2121.5969426328334;2167.690525131912;40;0.0107462096782939;2142.6385557989493;3;123456791
24;SWAP_IN;meanclients;0.8697602581229196;0.848899797820307;0.8906207184255321;40;0.0239841497789663;0.8680392814475604;3;123456791
25;SWAP_IN;meanwaits;392.4259815021133;385.31626507835045;399.53569792587615;40;0.0181173438021319;391.5650076137055;3;123456791
