;Station;Measure;R;LB;HB;Samples;Precision;Expected;Simulation;Seed
0;[38;2;255.0;0.0;000m[Exception](SIMManager)Cannot find scenario with name Markov_20_NegExp;;;;1;123456789
1;[0mCPU;meanclients;1.368781159538734;1.3378201587830338;1.3997421602944342;40.0;0.0226193942983067;1.4748741659982971;1;123456789
2;CPU;meanwaits;5.940569160160012;5.845766851427501;6.035371468892522;40.0;0.0159584555244798;6.653029723209239;1;123456789
3;IO1;meanclients;1.256252739476594;1.2305193084350785;1.28198617051811;40.0;0.0204842785475138;1.348646013508639;1;123456789
4;IO1;meanwaits;88.11801763274488;86.84711096053513;89.38892430495463;40.0;0.0144227787500461;93.59423771469142;1;123456789
5;IO2;meanclients;6.539749049266179;6.492380240010673;6.587117858521685;40.0;0.0072432151293054;11.874748740395736;1;123456789
6;IO2;meanwaits;1192.2379132335182;1180.6696568439452;1203.8061696230911;40.0;0.0097029764455303;2142.6385557989493;1;123456789
7;SWAP_IN;meanclients;0.8238551984930569;0.8061479552727054;0.8415624417134083;40.0;0.0214931498311116;0.8680392814475604;1;123456789
8;SWAP_IN;meanwaits;377.00457928891217;370.85037628546166;383.1587822923627;40.0;0.0163239476163878;391.5650076137055;1;123456789
9;ActiveTime;cycleTime;4245.049249409829;4076.5579077780594;4413.540591041598;40.0;0.0396912572110191;6630.26190696379;1;123456789
10;[38;2;255.0;0.0;000m[Exception](SIMManager)Cannot find scenario with name Markov_20_NegExp;;;;2;123456790
11;[0mCPU;meanclients;1.3516693321290636;1.3232235939693775;1.3801150702887495;40.0;0.0210448942530048;1.4748741659982971;2;123456790
12;CPU;meanwaits;5.928772169883307;5.837529896602147;6.020014443164467;40.0;0.0153897418667304;6.653029723209239;2;123456790
13;IO1;meanclients;1.2446514086480485;1.2267536423696368;1.2625491749264601;40.0;0.0143797421141814;1.348646013508639;2;123456790
14;IO1;meanwaits;88.01839840714578;87.11540081873535;88.92139599555621;40.0;0.010259191313996;93.59423771469142;2;123456790
15;IO2;meanclients;6.582256148107313;6.541527161344444;6.6229851348701825;40.0;0.0061876939831003;11.874748740395736;2;123456790
16;IO2;meanwaits;1207.9523631026989;1197.5377431070165;1218.3669830983813;40.0;0.0086217141617504;2142.6385557989493;2;123456790
17;SWAP_IN;meanclients;0.809391246768772;0.7949447552926384;0.8238377382449057;40.0;0.0178485887187518;0.8680392814475604;2;123456790
18;SWAP_IN;meanwaits;371.4129748263323;366.5774287167626;376.248520935902;40.0;0.0130193246798412;391.5650076137055;2;123456790
19;ActiveTime;cycleTime;4224.058808015636;4103.912278852608;4344.205337178663;40.0;0.0284433845795507;6630.26190696379;2;123456790
20;[38;2;255.0;0.0;000m[Exception](SIMManager)Cannot find scenario with name Markov_20_NegExp;;;;3;123456791
21;[0mCPU;meanclients;1.4068618642081272;1.3745501191802674;1.439173609235987;40.0;0.0229672477802551;1.4748741659982971;3;123456791
22;CPU;meanwaits;6.096973601366488;6.003190145136244;6.190757057596733;40.0;0.0153819685571912;6.653029723209239;3;123456791
23;IO1;meanclients;1.2720760674408762;1.2556804840201434;1.288471650861609;40.0;0.0128888388362788;1.348646013508639;3;123456791
24;IO1;meanwaits;89.08306257584856;88.18330882439626;89.98281632730085;40.0;0.010100166355262;93.59423771469142;3;123456791
25;IO2;meanclients;6.472401687839823;6.430494938974396;6.51430843670525;40.0;0.0064746829517953;11.874748740395736;3;123456791
26;IO2;meanwaits;1180.010936301204;1170.9518103282169;1189.070062274191;40.0;0.0076771542485729;2142.6385557989493;3;123456791
27;SWAP_IN;meanclients;0.8364804148498308;0.8214100123510151;0.8515508173486466;40.0;0.0180164439373291;0.8680392814475604;3;123456791
28;SWAP_IN;meanwaits;380.21871626153705;374.069273446123;386.3681590769511;40.0;0.0161734353213271;391.5650076137055;3;123456791
29;ActiveTime;cycleTime;4120.892032883051;3985.88638627515;4255.897679490951;40.0;0.0327612675922131;6630.26190696379;3;123456791
30;[38;2;255.0;0.0;000m[Exception](SIMManager)Cannot find scenario with name Markov_20_NegExp;;;;4;123456792
31;[0mCPU;meanclients;1.387793899892084;1.3663282804681738;1.4092595193159942;40.0;0.0154674403926832;1.4748741659982971;4;123456792
32;CPU;meanwaits;6.010729867396754;5.942979640956723;6.078480093836785;40.0;0.0112715473718957;6.653029723209239;4;123456792
33;IO1;meanclients;1.2553980630364647;1.242920531061918;1.2678755950110114;40.0;0.0099391040514806;1.348646013508639;4;123456792
34;IO1;meanwaits;88.7222344669591;88.06041377518814;89.38405515873005;40.0;0.0074594682578404;93.59423771469142;4;123456792
35;IO2;meanclients;6.506167851131777;6.4764673707932765;6.535868331470278;40.0;0.0045649729638213;11.874748740395736;4;123456792
36;IO2;meanwaits;1194.6128196326358;1187.9263331622903;1201.2993061029813;40.0;0.0055971996620642;2142.6385557989493;4;123456792
37;SWAP_IN;meanclients;0.8365666417207741;0.8243720043163084;0.8487612791252398;40.0;0.0145770065363614;0.8680392814475604;4;123456792
38;SWAP_IN;meanwaits;382.1406727103754;377.19793039673215;387.08341502401873;40.0;0.012934352887868;391.5650076137055;4;123456792
