;Station;Measure;R;LB;HB;Samples;Precision;Expected;Simulation;Seed
0;CPU;meanclients;1.3728900351507212;1.3302394134894098;1.4155406568120326;154;0.0310663057996694;1.4748741659982971;1;123456789
1;CPU;meanwaits;5.973886225555664;5.847468059430002;6.100304391681326;154;0.0211617967521474;6.653029723209239;1;123456789
2;IO1;meanclients;1.2873184245405191;1.2608129806067738;1.3138238684742645;154;0.0205896563184868;1.348646013508639;1;123456789
3;IO1;meanwaits;89.46687720149123;88.1357742877763;90.79798011520616;154;0.014878164471049;93.59423771469142;1;123456789
4;IO2;meanclients;6.4470177220957465;6.374445279019998;6.519590165171495;154;0.01125674632893;11.87474874039573;1;123456789
5;IO2;meanwaits;1171.2055982193976;1155.1915072969916;1187.2196891418037;154;0.0136731680131588;2142.638555798949;1;123456789
6;SWAP_IN;meanclients;0.8681094824263376;0.8388449119778214;0.8973740528748537;154;0.0337106909219821;0.8680392814475595;1;123456789
7;SWAP_IN;meanwaits;392.46349454273206;382.5656852430293;402.3613038424349;154;0.0252196941558474;391.5650076137053;1;123456789
8;ActiveTime;cycleTime;4082.5608665504337;3880.034624375961;4285.087108724906;154;0.0496076479431885;6630.261906963791;1;123456789
9;CPU;meanclients;1.357012659069908;1.322618984686286;1.3914063334535305;210;0.0253451389371677;1.4748741659982971;2;123456790
10;CPU;meanwaits;5.975224976349984;5.870975788573195;6.079474164126773;210;0.0174469058804327;6.653029723209239;2;123456790
11;IO1;meanclients;1.2309423494544816;1.2109749615073304;1.2509097374016327;210;0.0162212210474358;1.348646013508639;2;123456790
12;IO1;meanwaits;87.62511793751501;86.55839150827778;88.69184436675225;210;0.0121737517089324;93.59423771469142;2;123456790
13;IO2;meanclients;6.575986858105905;6.52228813622849;6.629685579983319;210;0.008165880351665;11.87474874039573;2;123456790
14;IO2;meanwaits;1209.9160637803247;1197.34517860631;1222.4869489543396;210;0.0103898820342443;2142.638555798949;2;123456790
15;SWAP_IN;meanclients;0.8101408590305968;0.791334137298051;0.8289475807631427;210;0.0232141380389697;0.8680392814475595;2;123456790
16;SWAP_IN;meanwaits;375.1021610016492;368.4143224940781;381.7899995092202;210;0.0178293787743377;391.5650076137053;2;123456790
17;ActiveTime;cycleTime;4135.030499317014;3928.327523249704;4341.733475384323;210;0.0499882591196004;6630.261906963791;2;123456790
18;CPU;meanclients;1.3918752513739805;1.35789423866633;1.425856264081631;188;0.0244138349856471;1.4748741659982971;3;123456791
19;CPU;meanwaits;6.02350497453374;5.919156722356066;6.127853226711414;188;0.0173235105837613;6.653029723209239;3;123456791
20;IO1;meanclients;1.2707921825421866;1.2492371125735495;1.2923472525108235;188;0.0169619157756516;1.348646013508639;3;123456791
21;IO1;meanwaits;89.25891108120933;88.15296026796752;90.36486189445117;188;0.012390368646057;93.59423771469142;3;123456791
22;IO2;meanclients;6.4747483571824125;6.425635671098064;6.523861043266761;188;0.0075852656157467;11.87474874039573;3;123456791
23;IO2;meanwaits;1181.1116401620304;1169.66425436311;1192.5590259609507;188;0.0096920438421468;2142.638555798949;3;123456791
24;SWAP_IN;meanclients;0.8365564061935289;0.816540719413526;0.8565720929735318;188;0.0239262847451944;0.8680392814475595;3;123456791
25;SWAP_IN;meanwaits;382.5258796750284;375.05858685759455;389.9931724924623;188;0.0195210133854934;391.5650076137053;3;123456791
26;ActiveTime;cycleTime;4066.918900620384;3865.2325726635872;4268.605228577181;188;0.0495919227516514;6630.261906963791;3;123456791
27;CPU;meanclients;1.3797714167023167;1.3458452740205389;1.4136975593840946;245;0.024588234160454;1.4748741659982971;4;123456792
28;CPU;meanwaits;5.991495967425794;5.894989115581557;6.088002819270032;245;0.0161073048148443;6.653029723209239;4;123456792
29;IO1;meanclients;1.2443185081511523;1.2249193683576722;1.2637176479446324;245;0.0155901721837312;1.348646013508639;4;123456792
30;IO1;meanwaits;88.18945570292888;87.2389529581419;89.13995844771587;245;0.0107779636149338;93.59423771469142;4;123456792
31;IO2;meanclients;6.524194028089283;6.473135179822051;6.575252876356516;245;0.0078260775273395;11.87474874039573;4;123456792
32;IO2;meanwaits;1197.6342534088467;1185.8960304289326;1209.3724763887608;245;0.0098011750636751;2142.638555798949;4;123456792
33;SWAP_IN;meanclients;0.823524925119391;0.8053061826000787;0.8417436676387033;245;0.0221228793004305;0.8680392814475595;4;123456792
34;SWAP_IN;meanwaits;379.0395984320415;372.022813410852;386.056383453231;245;0.0185120104870718;391.5650076137053;4;123456792
35;ActiveTime;cycleTime;4349.487895759224;4132.158402968823;4566.817388549624;245;0.0499666852739832;6630.261906963791;4;123456792
36;CPU;meanclients;1.367522285669304;1.32875598954766;1.4062885817909485;157;0.0283478350063383;1.4748741659982971;5;123456793
37;CPU;meanwaits;5.948916847776816;5.836583273742;6.061250421811633;157;0.0188830297866403;6.653029723209239;5;123456793
38;IO1;meanclients;1.256800493085149;1.232562779467211;1.2810382067030872;157;0.0192852515186721;1.348646013508639;5;123456793
39;IO1;meanwaits;88.67781114338607;87.42848213639765;89.92714015037448;157;0.0140884060046129;93.59423771469142;5;123456793
40;IO2;meanclients;6.539088483396396;6.4783472337595365;6.599829733033256;157;0.0092889475025593;11.87474874039573;5;123456793
41;IO2;meanwaits;1201.8940534991943;1188.247160110135;1215.5409468882538;157;0.0113544894821034;2142.638555798949;5;123456793
42;SWAP_IN;meanclients;0.8155259455042316;0.7909892255311227;0.8400626654773405;157;0.0300869887811333;0.8680392814475595;5;123456793
